Documet1,Document2,numHashes,ShinglesJaccard,MinHashJaccard
"11-Mare-Balena","16-Don-Quijote",50,0.61186,0.54
"11-Mare-Balena","16-Mare-Balena",50,1,1
"11-Mare-Balena","16-Pride-Perjudice",50,0.531017,0.52
"11-Mare-Balena","17-Don-Quijote",50,0.61186,0.54
"11-Mare-Balena","17-Mare-Balena",50,1,1
"11-Mare-Balena","17-Pride-Perjudice",50,0.531017,0.52
"11-Mare-Balena","18-Don-Quijote",50,0.61186,0.54
"11-Mare-Balena","18-Mare-Balena",50,1,1
"11-Mare-Balena","18-Pride-Perjudice",50,0.531017,0.52
"11-Mare-Balena","19-Don-Quijote",50,0.61186,0.54
"11-Mare-Balena","19-Mare-Balena",50,0.996845,1
"11-Mare-Balena","19-Pride-Perjudice",50,0.531017,0.52
"11-Mare-Balena","2-Don-Quijote",50,0.61186,0.54
"11-Mare-Balena","2-Mare-Balena",50,1,1
"11-Mare-Balena","2-Pride-Perjudice",50,0.531017,0.52
"11-Mare-Balena","20-Don-Quijote",50,0.61186,0.54
"11-Mare-Balena","20-Mare-Balena",50,1,1
"11-Mare-Balena","20-Pride-Perjudice",50,0.531017,0.52
"11-Mare-Balena","3-Don-Quijote",50,0.61186,0.54
"11-Mare-Balena","3-Mare-Balena",50,1,1
"11-Mare-Balena","3-Pride-Perjudice",50,0.531017,0.52
"11-Mare-Balena","4-Don-Quijote",50,0.61186,0.54
"11-Mare-Balena","4-Mare-Balena",50,1,1
"11-Mare-Balena","4-Pride-Perjudice",50,0.531017,0.52
"11-Mare-Balena","5-Don-Quijote",50,0.61186,0.54
"11-Mare-Balena","5-Mare-Balena",50,1,1
"11-Mare-Balena","5-Pride-Perjudice",50,0.531017,0.52
"11-Mare-Balena","6-Don-Quijote",50,0.61186,0.54
"11-Mare-Balena","6-Mare-Balena",50,1,1
"11-Mare-Balena","6-Pride-Perjudice",50,0.531017,0.52
"11-Mare-Balena","7-Don-Quijote",50,0.61186,0.54
"11-Mare-Balena","7-Mare-Balena",50,1,1
"11-Mare-Balena","7-Pride-Perjudice",50,0.531017,0.52
