Documet1,Document2,K,ShinglesJaccard,AproxSim
"1-Pride-Perjudice","14-Don-Quijote",2,0.304918,0.463899
"1-Pride-Perjudice","14-Mare-Balena",2,0.200787,0.325012
"1-Pride-Perjudice","14-Pride-Perjudice",2,0.035533,0.0295231
"1-Pride-Perjudice","15-Don-Quijote",2,0.0818182,0.104716
"1-Pride-Perjudice","15-Mare-Balena",2,0.0460526,0.0807504
"1-Pride-Perjudice","15-Pride-Perjudice",2,0.0220588,0.0379331
"1-Pride-Perjudice","16-Don-Quijote",2,0.202479,0.308257
"1-Pride-Perjudice","16-Mare-Balena",2,0.264901,0.414204
"1-Pride-Perjudice","16-Pride-Perjudice",2,0.658703,0.676884
"1-Pride-Perjudice","17-Don-Quijote",2,0.100346,0.122313
"1-Pride-Perjudice","17-Mare-Balena",2,0.0900901,0.102004
"1-Pride-Perjudice","17-Pride-Perjudice",2,0.227679,0.274801
"1-Pride-Perjudice","18-Don-Quijote",2,0.342508,0.559503
"1-Pride-Perjudice","18-Mare-Balena",2,0.2,0.336634
"1-Pride-Perjudice","18-Pride-Perjudice",2,0.636678,0.635169
"1-Pride-Perjudice","19-Don-Quijote",2,0.250923,0.393342
"1-Pride-Perjudice","19-Mare-Balena",2,0.0258065,0.0414392
"1-Pride-Perjudice","19-Pride-Perjudice",2,0.445736,0.448956
"1-Pride-Perjudice","2-Don-Quijote",2,0.394444,0.701714
"1-Pride-Perjudice","2-Mare-Balena",2,0.119318,0.154207
"1-Pride-Perjudice","2-Pride-Perjudice",2,0.306452,0.301606
"1-Pride-Perjudice","20-Don-Quijote",2,0.0931677,0.147402
"1-Pride-Perjudice","20-Mare-Balena",2,0.113565,0.223994
"1-Pride-Perjudice","20-Pride-Perjudice",2,0.0122951,0.0099771
"1-Pride-Perjudice","3-Don-Quijote",2,0.206767,0.359939
"1-Pride-Perjudice","3-Mare-Balena",2,0.0172414,0.0372714
"1-Pride-Perjudice","3-Pride-Perjudice",2,0.347985,0.350822
"1-Pride-Perjudice","4-Don-Quijote",2,0.186235,0.299757
"1-Pride-Perjudice","4-Mare-Balena",2,0.253776,0.516554
"1-Pride-Perjudice","4-Pride-Perjudice",2,0.151079,0.151604
"1-Pride-Perjudice","5-Don-Quijote",2,0.304734,0.53605
"1-Pride-Perjudice","5-Mare-Balena",2,0.137255,0.279412
"1-Pride-Perjudice","5-Pride-Perjudice",2,0.0232558,0.0324599
"1-Pride-Perjudice","6-Don-Quijote",2,0.08,0.119279
"1-Pride-Perjudice","6-Mare-Balena",2,0.106599,0.186524
"1-Pride-Perjudice","6-Pride-Perjudice",2,0.228856,0.252663
"1-Pride-Perjudice","7-Don-Quijote",2,0.212454,0.355779
"1-Pride-Perjudice","7-Mare-Balena",2,0.276364,0.413309
"1-Pride-Perjudice","7-Pride-Perjudice",2,0.342007,0.33014
"1-Pride-Perjudice","8-Don-Quijote",2,0.0981308,0.124402
"1-Pride-Perjudice","8-Mare-Balena",2,0.34957,0.58707
"1-Pride-Perjudice","8-Pride-Perjudice",2,0.0443038,0.0385196
"1-Pride-Perjudice","9-Don-Quijote",2,0.0666667,0.128867
"1-Pride-Perjudice","9-Mare-Balena",2,0.2,0.339267
"1-Pride-Perjudice","9-Pride-Perjudice",2,0.047619,0.0600281
"10-Don-Quijote","10-Mare-Balena",2,0.289377,0.406258
"10-Don-Quijote","10-Pride-Perjudice",2,0.354938,0.637994
"10-Don-Quijote","11-Don-Quijote",2,0.469466,0.460006
"10-Don-Quijote","11-Mare-Balena",2,0.162698,0.222447
"10-Don-Quijote","11-Pride-Perjudice",2,0.264026,0.485828
"10-Don-Quijote","12-Don-Quijote",2,0.578544,0.558232
"10-Don-Quijote","12-Mare-Balena",2,0.162679,0.248067
"10-Don-Quijote","12-Pride-Perjudice",2,0.270627,0.464235
"10-Don-Quijote","13-Don-Quijote",2,0.0529101,0.0349812
"10-Don-Quijote","13-Mare-Balena",2,0.255144,0.346737
"10-Don-Quijote","13-Pride-Perjudice",2,0.135371,0.241166
"10-Don-Quijote","14-Don-Quijote",2,0.571429,0.567638
